Authors,Title,Source,Year,Volume,Issue,Pages,DOI,Citations,core_paper
Chalitsios CV; McKeever TM; Langley TE; Shaw DE,Impact of COVID-19 on corticosteroids and antibiotics prescribing in England: an interrupted time series analysis.,J Public Health (Oxf),2021,43,3,517-520,doi: 10.1093/pubmed/fdab017,4,0
MacKenna B; Curtis HJ; Walker AJ; Bacon S; Croker R; Goldacre B,Suboptimal prescribing behaviour associated with clinical software design features: a retrospective cohort study in English NHS primary care.,Br J Gen Pract,2020,70,698,e636-e643,doi: 10.3399/bjgp20X712313,5,1
Graham S; Walker JL; Andrews N; Nitsch D; Parker EPK; McDonald H,Identifying markers of health-seeking behaviour and healthcare access in UK electronic health records.,BMJ Open,2024,14,9,e081781,doi: 10.1136/bmjopen-2023-081781,2,0
Donaldson M; Deaney C,Driving Sustainability in Asthma and COPD Management: Preventative Models and Green Prescribing in a Rural Primary Care Practice in England.,J Prim Care Community Health,2025,16,,21501319251334217,doi: 10.1177/21501319251334217,0,0
Hodgson S; Fecht D; Gulliver J; Iyathooray Daby H; Piel FB; Yip F; Strosnider H; Hansell A; Elliott P,"Availability, access, analysis and dissemination of small-area data.",Int J Epidemiol,2020,49 Suppl 1,Suppl 1,i4-i14,doi: 10.1093/ije/dyz051,5,0
Bryant OK; Man KKC; Jani YH; Wong ICK; Lau WCY,Antibiotic prescribing in general practice during COVID-19 and beyond.,Lancet Infect Dis,2023,23,1,32-33,doi: 10.1016/S1473-3099(22)00814-3,3,0
Sumpter JP; Margiotta-Casaluci L,Environmental Occurrence and Predicted Pharmacological Risk to Freshwater Fish of over 200 Neuroactive Pharmaceuticals in Widespread Use.,Toxics,2022,10,5,,doi: 10.3390/toxics10050233,5,0
Salim H; Jones AM,Angiotensin II receptor blockers (ARBs) and manufacturing contamination: A retrospective National Register Study into suspected associated adverse drug reactions.,Br J Clin Pharmacol,2022,88,11,4812-4827,doi: 10.1111/bcp.15411,4,0
Morley KI; Hocking L; Saunders CL; Bousfield JW; Bostock J; Brimicombe J; Burgoine T; Dawney J; Hofman J; Lee D; Mackett R; Phillips W; Sussex J; Morris S,Wellbeing Impact Study of High-Speed 2 (WISH2): Protocol for a mixed-methods examination of the impact of major transport infrastructure development on mental health and wellbeing.,PLoS One,2024,19,2,e0298701,doi: 10.1371/journal.pone.0298701,0,0
Curtis HJ; MacKenna B; Wiedemann M; Fisher L; Croker R; Morton CE; Inglesby P; Walker AJ; Morley J; Mehrkar A; Bacon SC; Hickman G; Evans D; Ward T; Davy S; Hulme WJ; Macdonald O; Conibere R; Lewis T; Myers M; Wanninayake S; Collison K; Drury C; Samuel M; Sood H; Cipriani A; Fazel S; Sharma M; Baqir W; Bates C; Parry J; Goldacre B; OpenSAFELY Collaborative,OpenSAFELY NHS Service Restoration Observatory 2: changes in primary care clinical activity in England during the COVID-19 pandemic.,Br J Gen Pract,2023,73,730,e318-e331,doi: 10.3399/BJGP.2022.0301,5,1
Schultze A; Walker AJ; MacKenna B; Morton CE; Bhaskaran K; Brown JP; Rentsch CT; Williamson E; Drysdale H; Croker R; Bacon S; Hulme W; Bates C; Curtis HJ; Mehrkar A; Evans D; Inglesby P; Cockburn J; McDonald HI; Tomlinson L; Mathur R; Wing K; Wong AYS; Forbes H; Parry J; Hester F; Harper S; Evans SJW; Quint J; Smeeth L; Douglas IJ; Goldacre B; OpenSAFELY Collaborative,Risk of COVID-19-related death among patients with chronic obstructive pulmonary disease or asthma prescribed inhaled corticosteroids: an observational cohort study using the OpenSAFELY platform.,Lancet Respir Med,2020,8,11,1106-1120,doi: 10.1016/S2213-2600(20)30415-X,145,0
Bell C; Hadi MA; Khanal S; Paudyal V,Prescribing patterns and costs associated with erectile dysfunction drugs in England: a time trend analysis.,BJGP Open,2021,5,2,,pii: bjgpopen20X101145. doi: 10.3399/bjgpopen20X101145,7,0
Mokbel K; Emblin K; Daniels R; Alghamdi F; Jackson L,A Time-varying Analysis of General Practice Prescribing in the COVID-19 Era: Lessons from Prescription Dynamics in a Pandemic.,In Vivo,2025,39,1,498-508,doi: 10.21873/invivo.13854,0,0
Fisher L; Curtis HJ; Croker R; Wiedemann M; Speed V; Wood C; Brown A; Hopcroft LEM; Higgins R; Massey J; Inglesby P; Morton CE; Walker AJ; Morley J; Mehrkar A; Bacon S; Hickman G; Macdonald O; Lewis T; Wood M; Myers M; Samuel M; Conibere R; Baqir W; Sood H; Drury C; Collison K; Bates C; Evans D; Dillingham I; Ward T; Davy S; Smith RM; Hulme W; Green A; Parry J; Hester F; Harper S; Cockburn J; O'Hanlon S; Eavis A; Jarvis R; Avramov D; Griffiths P; Fowles A; Parkes N; MacKenna B; Goldacre B,Eleven key measures for monitoring general practice clinical activity during COVID-19: A retrospective cohort study using 48 million adults' primary care records in England through OpenSAFELY.,Elife,2023,12,,,doi: 10.7554/eLife.84673,4,1
Barker E; Pocock J; Moss J; Hex N; Rankin J; Hudson R,The relationship between prescription rates of oral corticosteroids for respiratory diseases and deprivation in England.,NPJ Prim Care Respir Med,2024,34,1,3,doi: 10.1038/s41533-024-00362-1,0,0
Brown B; Smeeth L; van Staa T; Buchan I,Better care through better use of data in GP-patient partnerships.,Br J Gen Pract,2017,67,655,54-55,doi: 10.3399/bjgp17X688921,2,0
Unwin D; Delon C; Unwin J; Tobin S; Taylor R,What predicts drug-free type 2 diabetes remission? Insights from an 8-year general practice service evaluation of a lower carbohydrate diet with weight loss.,BMJ Nutr Prev Health,2023,6,1,46-55,doi: 10.1136/bmjnph-2022-000544,16,0
Liu M; MacKenna B; Feldman WB; Walker AJ; Avorn J; Kesselheim AS; Goldacre B,Projected spending for brand-name drugs in English primary care given US prices: a cross-sectional study.,J R Soc Med,2020,113,9,350-359,doi: 10.1177/0141076820918238,3,0
Johnson L; Cole F; Kinchin R; Francis A; Winiarek K; Hampshire K; Chazot P,Assessing the feasibility of the GOTT (Gabapentinoid and Opioid Tapering Toolkit) in a primary care setting in North-East England.,Br J Pain,2024,,,20494637241291534,doi: 10.1177/20494637241291534,0,0
Williamson EJ; Walker AJ; Bhaskaran K; Bacon S; Bates C; Morton CE; Curtis HJ; Mehrkar A; Evans D; Inglesby P; Cockburn J; McDonald HI; MacKenna B; Tomlinson L; Douglas IJ; Rentsch CT; Mathur R; Wong AYS; Grieve R; Harrison D; Forbes H; Schultze A; Croker R; Parry J; Hester F; Harper S; Perera R; Evans SJW; Smeeth L; Goldacre B,Factors associated with COVID-19-related death using OpenSAFELY.,Nature,2020,584,7821,430-436,doi: 10.1038/s41586-020-2521-4,3303,0
Walker AJ; Pretis F; Powell-Smith A; Goldacre B,Variation in responsiveness to warranted behaviour change among NHS clinicians: novel implementation of change detection methods in longitudinal prescribing data.,BMJ,2019,367,,l5205,doi: 10.1136/bmj.l5205,11,1
Anderson M; Francetic I,Adoption of clinical pharmacist roles in primary care: longitudinal evidence from English general practice.,Br J Gen Pract,2025,75,752,e173-e180,doi: 10.3399/BJGP.2024.0320,0,0
Zhong X; Pate A; Yang YT; Fahmi A; Ashcroft DM; Goldacre B; MacKenna B; Mehrkar A; Bacon SCJ; Massey J; Fisher L; Inglesby P; OpenSAFELY collaborative; Hand K; van Staa T; Palin V,The impact of COVID-19 on antibiotic prescribing in primary care in England: Evaluation and risk prediction of appropriateness of type and repeat prescribing.,J Infect,2023,87,1,1-11,doi: 10.1016/j.jinf.2023.05.010,6,0
Mackie SL; Brouwer E; Conway R; van der Geest KSM; Mehta P; Mollan SP; Neill L; Putman M; Robinson PC; Sattui SE,Clinical pathways for patients with giant cell arteritis during the COVID-19 pandemic: an international perspective.,Lancet Rheumatol,2021,3,1,e71-e82,doi: 10.1016/S2665-9913(20)30386-6,16,0
Crooks MG; Cummings H; Morice AH; Sykes D; Brooks S; Jackson A; Xu Y,Reducing short-acting beta-agonist use in asthma: Impact of national incentives on prescribing practices in England and the findings from SENTINEL Plus early adopter sites.,NPJ Prim Care Respir Med,2024,34,1,6,doi: 10.1038/s41533-024-00363-0,2,0
Anyanwu PE; Tonkin-Crine S; Borek A; Costelloe C,Investigating the mechanism of impact of the Quality Premium initiative on antibiotic prescribing in primary care practices in England: a study protocol.,BMJ Open,2019,9,8,e030093,doi: 10.1136/bmjopen-2019-030093,3,0
Alderson SL; Farragher TM; Willis TA; Carder P; Johnson S; Foy R,The effects of an evidence- and theory-informed feedback intervention on opioid prescribing for non-cancer pain in primary care: A controlled interrupted time series analysis.,PLoS Med,2021,18,10,e1003796,doi: 10.1371/journal.pmed.1003796,11,0
Sanderson T,A web tool for exploring the usage of medicines in hospitals in England.,Wellcome Open Res,2024,9,,147,doi: 10.12688/wellcomeopenres.20766.1,0,0
Orayj K,Trends in Parkinson's disease medication prescribing patterns in the UK: An interrupted time series analysis (2019-2024).,PLoS One,2025,20,5,e0324999,doi: 10.1371/journal.pone.0324999,0,0
Fu Y; Allen B; Batterham AM; Price C; Jones N; Martin D; Hex N; Maule E; Finch T; Newton JL; Ryan CG,"Digitally deployed, GP remote consultation video intervention that aims to reduce opioid prescribing in primary care: protocol for a mixed-methods evaluation.",BMJ Open,2023,13,2,e066158,doi: 10.1136/bmjopen-2022-066158,0,0
Tank N; Wood C; Ahankari A; Mackenna B; Walker A; Lemanska A,Vitamin B(12) prescribing from 2015 to 2024 in English general practice: an observational study to investigate the switch from injections to tablets.,BMJ Open,2025,15,2,e093748,doi: 10.1136/bmjopen-2024-093748,1,0
Barker R; Laverty AA; Hopkinson NS,Adjuncts for sputum clearance in COPD: clinical consensus versus actual use.,BMJ Open Respir Res,2017,4,1,e000226,doi: 10.1136/bmjresp-2017-000226,3,0
Saeed HS; Wright RB; Ghosh SK,Trends in the prescribing of topical nasal agents Using an NHS England data base.,Clin Otolaryngol,2018,43,5,1296-1302,doi: 10.1111/coa.13143,2,0
Blair PS; Ingram J; Clement C; Young G; Seume P; Taylor J; Cabral C; Lucas PJ; Beech E; Horwood J; Dixon P; Gulliford MC; Francis N; Creavin ST; Lane A; Bevan S; Hay AD,Can primary care research be conducted more efficiently using routinely reported practice-level data: a cluster randomised controlled trial conducted in England?,BMJ Open,2022,12,7,e061574,doi: 10.1136/bmjopen-2022-061574,1,0
O'Sullivan JW; Heneghan C; Perera R; Oke J; Aronson JK; Shine B; Goldacre B,Variation in diagnostic test requests and outcomes: a preliminary metric for OpenPathology.net.,Sci Rep,2018,8,1,4752,doi: 10.1038/s41598-018-23263-z,9,0
Wilcock J; Hawthorne K; Reeve J; Etherington C; Alsop K; Bircher J; McKechnie D; Granier S; Newport D; Wright S; Larcombe J; Ndukauba C; Anastasius N,Are insect bites responsible for the rise in summer flucloxacillin prescribing in United Kingdom general practices?,Fam Pract,2023,40,5-6,753-759,doi: 10.1093/fampra/cmad051,0,0
Hassan Ali A; Flood M; Kirke C; Mattsson M; Walsh ME; Wallace E; Corrigan D; Fahey T; Boland F; Moriarty F,RxTrends: An R-based Shiny Application for Visualising Open Data on Prescribed Medications in Ireland.,HRB Open Res,2025,8,,36,doi: 10.12688/hrbopenres.14080.2,0,0
Miller L; Costelloe CE; Robotham JV; Pouwels KB,Overuse of antibiotics: Can viral vaccinations help stem the tide?,Br J Clin Pharmacol,2021,87,1,87-89,doi: 10.1111/bcp.14651,1,0
Fisher L; Hopcroft LE; Rodgers S; Barrett J; Oliver K; Avery AJ; Evans D; Curtis H; Croker R; Macdonald O; Morley J; Mehrkar A; Bacon S; Davy S; Dillingham I; Evans D; Hickman G; Inglesby P; Morton CE; Smith B; Ward T; Hulme W; Green A; Massey J; Walker AJ; Bates C; Cockburn J; Parry J; Hester F; Harper S; O'Hanlon S; Eavis A; Jarvis R; Avramov D; Griffiths P; Fowles A; Parkes N; Goldacre B; MacKenna B,"Changes in medication safety indicators in England throughout the covid-19 pandemic using OpenSAFELY: population based, retrospective cohort study of 57 million patients using federated analytics.",BMJ Med,2023,2,1,e000392,doi: 10.1136/bmjmed-2022-000392,5,0
Burgess IF; Brunton ER; Burgess MN,"Head lice: impact of COVID-19 and slow recovery of prevalence in Cambridgeshire, UK.",PeerJ,2023,11,,e16001,doi: 10.7717/peerj.16001,1,0
Fu Y; Price C; Haining S; Gaffney B; Julien D; Whitty P; Newton JL,Cardiovascular-related conditions and risk factors in primary care for deprived communities before and during the COVID-19 pandemic: an observational study in Northern England.,BMJ Open,2022,12,11,e066868,doi: 10.1136/bmjopen-2022-066868,2,0
Thomas RH,"Valproate: life-saving, life-changing.",Clin Med (Lond),2018,18,Suppl 2,s1-s8,doi: 10.7861/clinmedicine.18-2-s1,7,0
Unwin D; Khalid AA; Unwin J; Crocombe D; Delon C; Martyn K; Golubic R; Ray S,"Insights from a general practice service evaluation supporting a lower carbohydrate diet in patients with type 2 diabetes mellitus and prediabetes: a secondary analysis of routine clinic data including HbA1c, weight and prescribing over 6 years.",BMJ Nutr Prev Health,2020,3,2,285-294,doi: 10.1136/bmjnph-2020-000072,29,0
Curtis HJ; Croker R; Walker AJ; Richards GC; Quinlan J; Goldacre B,"Opioid prescribing trends and geographical variation in England, 1998-2018: a retrospective database study.",Lancet Psychiatry,2019,6,2,140-150,doi: 10.1016/S2215-0366(18)30471-1,100,1
Curtis HJ; Dennis JM; Shields BM; Walker AJ; Bacon S; Hattersley AT; Jones AG; Goldacre B,Time trends and geographical variation in prescribing of drugs for diabetes in England from 1998 to 2017.,Diabetes Obes Metab,2018,20,9,2159-2168,doi: 10.1111/dom.13346,31,1
Alderson SL; Bald A; Carder P; Farrin A; Foy R,Establishing a primary care audit and feedback implementation laboratory: a consensus study.,Implement Sci Commun,2021,2,1,3,doi: 10.1186/s43058-020-00103-8,4,0
Orayj K,Analyzing Prescribing Trends of Gastric Acid Suppressants in the UK Using Segmented Regression: Evaluating the Influence of COVID-19 (2019-2024).,Healthcare (Basel),2025,13,5,,doi: 10.3390/healthcare13050442,0,0
Walker AJ; Curtis HJ; Bacon S; Croker R; Goldacre B,"Trends, geographical variation and factors associated with prescribing of gluten-free foods in English primary care: a cross-sectional study.",BMJ Open,2018,8,3,e021312,doi: 10.1136/bmjopen-2017-021312,9,1
Furukawa TA; Cipriani A; Cowen PJ; Leucht S; Egger M; Salanti G,"Optimal dose of selective serotonin reuptake inhibitors, venlafaxine, and mirtazapine in major depression: a systematic review and dose-response meta-analysis.",Lancet Psychiatry,2019,6,7,601-609,doi: 10.1016/S2215-0366(19)30217-2,110,0
Croker R; Walker AJ; Bacon S; Curtis HJ; French L; Goldacre B,"New mechanism to identify cost savings in English NHS prescribing: minimising 'price per unit', a cross-sectional study.",BMJ Open,2018,8,2,e019643,doi: 10.1136/bmjopen-2017-019643,8,1
Curtis HJ; Walker AJ; MacKenna B; Croker R; Goldacre B,Prescription of suboptimal statin treatment regimens: a retrospective cohort study of trends and variation in English primary care.,Br J Gen Pract,2020,70,697,e525-e533,doi: 10.3399/bjgp20X710873,11,1
Zheng Z; Taylor B; Rowlingson B; Lawson E,Spatiotemporal modelling of pregabalin prescribing in England with effect of deprivation.,BMJ Open,2020,10,3,e029624,doi: 10.1136/bmjopen-2019-029624,0,0
Barrett R; Hodgkinson J,Impact of the COVID-19 pandemic on cardiovascular heart disease medication use: time-series analysis of England's prescription data during the COVID-19 pandemic (January 2019 to October 2020).,Ther Adv Cardiovasc Dis,2022,16,,17539447221137170,doi: 10.1177/17539447221137170,4,0
Bircher J,Prioritising quality improvement.,BMJ,2019,367,,l6594,doi: 10.1136/bmj.l6594,1,0
McCarthy C; Moynagh P; Mannion Á; Wei A; Clyne B; Moriarty F,Effectiveness of interactive dashboards to optimize prescribing in general practice: a systematic review.,Fam Pract,2025,42,4,,doi: 10.1093/fampra/cmaf036,0,0
Xia Y; Forget P,Opioid and gabapentinoid prescriptions in England from 2015 to 2020.,PLoS One,2022,17,11,e0276867,doi: 10.1371/journal.pone.0276867,2,0
Smith CL; Zurynski Y; Braithwaite J,We can't mitigate what we don't monitor: using informatics to measure and improve healthcare systems' climate impact and environmental footprint.,J Am Med Inform Assoc,2022,29,12,2168-2173,doi: 10.1093/jamia/ocac113,10,0
Quinlan J; Rann S; Bastable R; Levy N,Perioperative opioid use and misuse.,Clin Med (Lond),2019,19,6,441-445,doi: 10.7861/clinmed.2019.0227,11,0
Niazi-Ali S; Bircher J,Broad spectrum antibiotic stewardship by quality improvement methods.,Int J Risk Saf Med,2022,33,S1,S35-S40,doi: 10.3233/JRS-227021,2,0
Innes J; Jamieson T; Dales R; Lloyd R,National quality improvement intervention to reduce high risk oral methotrexate prescribing.,BMJ Open Qual,2022,11,3,,doi: 10.1136/bmjoq-2022-001942,2,0
Owens R; Jones LF; Moore M; Pilat D; McNulty C,Self-Assessment of Antimicrobial Stewardship in Primary Care: Self-Reported Practice Using the TARGET Primary Care Self-Assessment Tool.,Antibiotics (Basel),2017,6,3,,doi: 10.3390/antibiotics6030016,7,0
Aladul MI; Patel B; Chapman SR,Impact of the introduction of falls risk assessment toolkit on falls prevention and psychotropic medicines' utilisation in Walsall: an interrupted time series analysis.,BMJ Open,2021,11,8,e039649,doi: 10.1136/bmjopen-2020-039649,0,0
Hamilton F; Darley E; Arnold K; MacGowan A,Trends in fluoroquinolone prescribing in UK primary and secondary care between 2019 and 2023.,J Antimicrob Chemother,2025,80,2,518-527,doi: 10.1093/jac/dkae440,0,0
Hauser AS; Chavali S; Masuho I; Jahn LJ; Martemyanov KA; Gloriam DE; Babu MM,Pharmacogenomics of GPCR Drug Targets.,Cell,2018,172,1-2,41-54.e19,doi: 10.1016/j.cell.2017.11.033,281,0
Taylor GMJ; Itani T; Thomas KH; Rai D; Jones T; Windmeijer F; Martin RM; Munafò MR; Davies NM; Taylor AE,"Prescribing Prevalence, Effectiveness, and Mental Health Safety of Smoking Cessation Medicines in Patients With Mental Disorders.",Nicotine Tob Res,2020,22,1,48-57,doi: 10.1093/ntr/ntz072,27,0
Aronson JK; Green AR,"Me-too pharmaceutical products: History, definitions, examples, and relevance to drug shortages and essential medicines lists.",Br J Clin Pharmacol,2020,86,11,2114-2122,doi: 10.1111/bcp.14327,21,0
Yan T; Arora RK,Research Products Beyond the Research Paper: Reflections on User-Centered Evidence Synthesis From SeroTracker.,Front Res Metr Anal,2022,7,,881250,doi: 10.3389/frma.2022.881250,0,0
Aliabadi S; Anyanwu P; Beech E; Jauneikaite E; Wilson P; Hope R; Majeed A; Muller-Pebody B; Costelloe C,"Effect of antibiotic stewardship interventions in primary care on antimicrobial resistance of Escherichia coli bacteraemia in England (2013-18): a quasi-experimental, ecological, data linkage study.",Lancet Infect Dis,2021,21,12,1689-1700,doi: 10.1016/S1473-3099(21)00069-4,26,0
Van Staa T; Li Y; Gold N; Chadborn T; Welfare W; Palin V; Ashcroft DM; Bircher J,Comparing antibiotic prescribing between clinicians in UK primary care: an analysis in a cohort study of eight different measures of antibiotic prescribing.,BMJ Qual Saf,2022,31,11,831-838,doi: 10.1136/bmjqs-2020-012108,8,0